История;Выборы;Линия выбора;Текст;Конец?;
Работа;Открою папку|1//Игнорирую папку|2;1;Ты только что устроился на работу в IT-компанию. На твоем рабочем столе в компьютере лежит загадочная папка с названием "Секреты проекта X".;0
Работа;Посмотреть файлы|1//Забить и пойти выпить кофе|2//Пойти выполнять работу|3;1.1;Вы открыли папку в ней находились 10 файлов.;0
Работа;Хочу попробовать расшифровать|1;1.1.1;Вы решили посмотреть файлы. В первых 7 файлах был написан непонятный код который был зашифрован. В остальных трех файлах были картинки каких-то людей, но они были так искажены, что вы могли разглядеть только силуэты;0
Работа;Прочитать|1;1.1.1.1;Вы решили попробовать расшифровать файлы. У вас ушло 5 рабочих дней, чтобы найти закономерность. Вы смогли расшифровать половину файлов.;0
Работа;Расшифровать остальные файлы|1//Начать работу|2;1.1.1.1.1;В этих файлах был компромат на фирму, в которой вы работаете, но это было не все. В создатель проекта, который был назван, как X, начал работу над вирусом который по его словам должен был положить конец развитию. Как это должно было обрывается;0
Работа;Рассказать о компромате|1//Сказать, что в скором времени он получит материал|2;1.1.1.1.1.1;Вы продолжаете расшифровывать, как в кабинет заходит начальник. Он спрашивает вас о прогрессе и говорит, что давно не слышал продвижений.;0
Работа;Конец|1;1.1.1.1.1.1.1;Он посмотрел компромат, он был весомым, чтобы компанию закрыли. Поэтому начальник достал пистолет и убил вас. Потом на канале новостей говорили, что программист в компании COMid покончил с собой застрелив себя из пистолета;1|Отчаянно
Работа;Продолжить расшифровку|1//Пойти в полицию|2//Начать работу|3;1.1.1.1.1.1.2;Вы сказали, что в скором времени он получит материал. Он посмотрел на вас, сказал, что у вас осталась неделя, и ушел.;0
Работа;Пойти в полицию с этим компроматом|1//Дочитать до конца|2;1.1.1.1.1.1.2.1;Вы расшифровали все файлы. В последних вы видите, как ваш начальник стреляет в пропавшего 10 месяцев назад сотрудника из отдела С.;0
Работа;Далее|1;1.1.1.1.1.1.2.1;Вы пошли в полицию. Они посмотрели на файлы и приняли действия.;0
Работа;Конец|1;1.1.1.1.1.1.2.1.1;По новостям говорят, что компанию COMid закрывают по данным, которым дал один из сотрудников, компании COMid. Начальника, который управлял A, B, C отделами, посадили в тюрьму на пожизненное заключение, а Крита подали в розыск.;1|Предотвратил опасность?
Работа;Пойти в полицию|1;1.1.1.1.1.1.2.2;Но также там срывалась информация о Крите - человеке, который начала проект X, целью которого на самом деле было полное уничтожение электрических систем с помощью вируса.;0
Работа;Далее|1;1.1.1.1.1.1.2.2.1;Вы пошли на выход, как вдруг начинается сигнализация вы, чтоб не брать подозрения, пошли по коридору, в котором ничего не было. Внезапно случается взрыв и вы умираете от кровотечения.;0
Работа;Конец|1;1.1.1.1.1.1.2.2.1.1;По новостям говорят, что в компании  COMid случился взрыв. По расследованию отряд следователей нашли папку возле одного сотрудника, который, как говорят следователи, умер от кровотечения. По этим данным компанию COMid пришлось закрыть. Начальника, который управлял A, B, C отделами, посадили в тюрьму на пожизненное заключение, а Крита подали в розыск.;1|Умер, но не просто так
Работа;Далее|1;1.1.1.1.1.1.2.3;Вы все же решили начать работу и почти завершили свой проект. Через год, когда вы сидели и работали уже над новыми проектами, в вашем кабинете начал мигать свет, а через 5 минут и совсем погас.;0
Работа;Конец|1;1.1.1.1.1.1.2.3.1;Вы решили выглянуть в окно и увидели, как один за другим сектором выключается город. Внезапно на всех компьютерных устройствах появился человек, который назвался Критом. Он сказал что все устройства будут сломаны и каждый кто попробует взаимодействие с электрическими приборами будет удален из системы.;1|Что... Это конец?
Работа;Далее|1;1.1.1.1.1.2;Вы решили начать работу и завершили свой проект. Через год, когда вы сидели и работали уже над новыми проектами, в вашем кабинете начал мигать свет, а через 5 минут и совсем погас.;0
Работа;Конец|1;1.1.1.1.1.2.1;Вы посмотрели в окно и заметили, как город постепенно погружается во тьму, сектор за сектором. Затем на экранах всех компьютеров появилось лицо мужчины, представившегося Критом. Он заявил, что все устройства будут выведены из строя, а любой, кто попытается использовать электрические приборы, будет исключён из системы.;1|Такая вот история...
Работа;Конец|1;1.1.1.1.1.1.2.3.1;Вы решили посмотреть новости. Внезапно на всех компьютерных устройствах появился человек, который назвался Критом. Он сказал что все устройства будут сломаны и каждый кто попробует взаимодействие с электрическими приборами будет удален из системы.;1|Что... Этого могло не быть?
Работа;Конец|1;1.1.2;Вы решили пойти в кофешку за кофе. Пока вы ждали вы увидели в телевизоре, как в вашем офисе был арестован ваш начальник. Там говорили, что его подозревали в убийстве 5 человек. Вам пришло письмо о том, что вы были уволены из-за того что компанию пришлось закрыть. Вам выплатили компенсацию за это.;1|Вышел за кофе. Нормально....
Работа;Проверить|1//Продолжить работу|2;1.1.3;Вы пошли выполнять работу. Вас отвлек крик из соседнего кабинета;0
Работа;Проверить|1//Воздержаться и пойти продолжить работу|2;1.1.3.1;Вы решили проверить. В кабинете был бардак вдруг вы услышали в соседней комнате звук разбивания стекла вместе с криком утихающим;0
Работа;Конец|1;1.1.3.1.1;Вы решили проверить. Там был человек в черном костюме он посмотрел на вас и убежал. Вы увидели справа много осколков и разбитое окно. Вдруг к вам сзади подошла полиция. Вас арестовали. Вы пытались оправдать свою невиновность, но ничего не вышло. Вас посадили в тюрьму;1|Невиновен
Работа;Конец|1;1.1.3.1.2;Вы решили все же не идти туда. Вы пошли дальше работать. Вдруг к вам в кабинет стучит полиция. Вас задерживают, но к сразу же отпускают, так как не находят доказательств против вас.;1|Странное дело
Работа;Конец|1;1.1.3.2;Вы продолжили работу и все было нормально некоторое время;1|А вы стойкий?
Работа;Удалить папку безвозвратно|1//Сказать начальнику о странной папке в твоей системе|2;1.2;Вы решили проигнорировать папку;0
Работа;Далее|1;1.2.1;Вы удалили папку. И начали работать над проектом. Через час к вам вламывается один из сотрудников и говорит, что в компании происходит утечка информации. Он сказал, что скоро тут будет отряд проверяющих системы компьютеров, и ушел.;0
Работа;Конец|1;1.2.1.1;Через 30 минут к вам входят 2 человека в черных костюмах и просят выйти. Через 10 минут они подходят к вам и говорят, что у вас все чисто. Далее вы продолжили работу...;1|Странный приюм
Работа;На моем компьютере|1//Я сделал копию и перекинул на флешку. Еще и на компьютере есть.|2;1.2.2;Вы рассказываете начальнику. Он сказал, что должен посмотреть и забрать себе  этот файл. Он спрашивает, где эта папка.;0
Работа;Конец|1;1.2.2.1;Он немедленно идет в ваш кабинет копирует папку и удаляет ее с вашего компьютера. Начальник сказал, что вы должны забыть о нем. Вы продолжили работать....;1|Ничего
Работа;Далее|1;1.2.2.2;Начальник внезапно уколол вас чем-то и вы упали в кому. Далее он забрал флешку и пошел удалять файлы с компьютера.;0
Работа;Конец|1;1.2.2.2.1;Сегоднешние новости. Один из сотрудников компании COMid умер от инсульта, как говорят эксперты это случилось внезапно, а теперь мы переходим...;1|Зачем??
